co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.5,cycle_co,False,100,0.9,tournament,2171,100
0.5,cycle_co,False,100,0.9,rank,2322,100
0.5,cycle_co,False,400,0.1,tournament,1230,100
0.5,cycle_co,False,400,0.1,rank,1143,100
0.5,cycle_co,False,400,0.3,tournament,1024,100
0.5,cycle_co,False,400,0.3,rank,1011,100
0.5,cycle_co,False,400,0.5,tournament,1563,100
0.5,cycle_co,False,400,0.5,rank,1367,100
0.5,cycle_co,False,400,0.7,tournament,2188,100
0.5,cycle_co,False,400,0.7,rank,1860,100
0.5,cycle_co,False,400,0.9,tournament,2271,100
0.5,cycle_co,False,400,0.9,rank,2176,100
0.5,cycle_co,False,700,0.1,tournament,1099,100
0.5,cycle_co,False,700,0.1,rank,1019,100
0.5,cycle_co,False,700,0.3,tournament,927,100
0.5,cycle_co,False,700,0.3,rank,911,100
0.5,cycle_co,False,700,0.5,tournament,1518,100
0.5,cycle_co,False,700,0.5,rank,1402,100
0.5,cycle_co,False,700,0.7,tournament,2075,100
0.5,cycle_co,False,700,0.7,rank,1674,100
0.5,cycle_co,False,700,0.9,tournament,2246,100
0.5,cycle_co,False,700,0.9,rank,2329,100
0.5,cycle_co,False,1000,0.1,tournament,1035,100
0.5,cycle_co,False,1000,0.1,rank,975,100
0.5,cycle_co,False,1000,0.3,tournament,930,100
0.5,cycle_co,False,1000,0.3,rank,940,100
0.5,cycle_co,False,1000,0.5,tournament,1679,100
0.5,cycle_co,False,1000,0.5,rank,1415,100
0.5,cycle_co,False,1000,0.7,tournament,1899,100
0.5,cycle_co,False,1000,0.7,rank,1780,100
0.5,cycle_co,False,1000,0.9,tournament,2318,100
0.5,cycle_co,False,1000,0.9,rank,2215,100
0.5,pmx_co,True,100,0.1,tournament,1505,100
0.5,pmx_co,True,100,0.1,rank,1351,100
0.5,pmx_co,True,100,0.3,tournament,1180,100
0.5,pmx_co,True,100,0.3,rank,1119,100
0.5,pmx_co,True,100,0.5,tournament,1107,100
